sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage,median_nn_distance,crowd_group
test_000000,0.7754420892376156,0.6332424807535982,0.22158524031989865,0.04616732424519762,0.49154506110811547,0.9900237625496439,0.014926170195190165,12.993135929107666,medium
test_000001,0.720511948294923,0.56312518693297,0.21884719436111674,0.04743905405244299,0.4680677641725714,0.9879925264666256,0.01701614441269377,12.91505241394043,medium
test_000002,0.7756375123317156,0.6335031660508196,0.24548473388063832,0.05761109712477268,0.4484833238004599,0.9875398618490528,0.024742288849632997,13.19238567352295,medium
test_000003,0.7396865063643475,0.5869067578024245,0.2638730983704185,0.0738194564540305,0.4182550320792472,0.9821767482090803,0.03042332421285681,13.214962482452393,medium
test_000004,0.9322242314647378,0.8730524319197941,0.7371095449403985,0.7163661339196814,0.8313835377575605,0.9965148362461101,0.006108627481457554,12.585553169250488,crowded
test_000005,0.8359077443927211,0.7180768881214215,0.5958642025563787,0.5019126413142787,0.7030567963193382,0.997409943825298,0.011697092854225512,10.993452548980713,crowded
test_000006,0.9434011646927959,0.8928659895962349,0.7623849510468996,0.7562030941692751,0.8311314527131101,0.9971161833963742,0.0034327897715549227,14.423971176147461,sparse
test_000007,0.8742972094702636,0.7766678885630498,0.6503702524086312,0.6038777325131478,0.8162769546778907,0.9972817008321259,0.005062019700390065,13.296302795410156,sparse
test_000008,0.8861914295126834,0.7956406989443029,0.6015722120658136,0.5784460447498203,0.7473621507051693,0.9951695553562443,0.005583634604960063,13.01529598236084,medium
test_000009,0.9285741582909772,0.8666714224568413,0.7218929919649071,0.6824707459835779,0.7065453932468979,0.9973830056400665,0.003722848556844246,14.103310108184814,sparse
test_000010,0.957453057388444,0.9183788453592758,0.7167674083196941,0.7056814484352613,0.7996092326073581,0.9964123465852284,0.004385072789449893,12.792244911193848,crowded
test_000011,0.9452635318598218,0.8962082571456068,0.7097139027353077,0.6839051735799726,0.7892945487789415,0.9967499875502049,0.004844408146001834,12.391801834106445,crowded
test_000012,0.9596727973740427,0.9224720789302349,0.8052629981485416,0.7694190310107337,0.6547297475649565,0.9976303577556539,0.004589449651977631,17.859949111938477,sparse
test_000013,0.938316271579894,0.8838001812236537,0.7049663368944344,0.6835673035802068,0.8177708696926589,0.9948424996929269,0.00754129039506027,12.778343200683594,crowded
test_000014,0.9517620774977779,0.9079637905351209,0.8070490227491188,0.7409101306618034,0.9003660322472301,0.9956523899094566,0.0055830142148856525,13.665582656860352,sparse
test_000015,0.9475634533797939,0.9003520985876046,0.7564143681847338,0.7458229602931382,0.832201033953636,0.9949050761273317,0.006265628792052806,13.823454856872559,sparse
